day,method,obs_idx
2024-03-27,lee_mykland,39506
2024-03-27,lee_mykland,39637
2024-03-27,lee_mykland,39660
2024-03-27,lee_mykland,39685
2024-03-27,lee_mykland,39703
2024-03-27,lee_mykland,39750
2024-03-27,lee_mykland,39988
2024-03-27,lee_mykland,40085
2024-03-27,lee_mykland,40147
2024-03-27,lee_mykland,40244
2024-03-27,lee_mykland,40246
2024-03-27,lee_mykland,40247
2024-03-27,lee_mykland,40253
2024-03-27,lee_mykland,40396
2024-03-27,lee_mykland,40421
2024-03-27,lee_mykland,40448
2024-03-27,lee_mykland,40451
2024-03-27,lee_mykland,40467
2024-03-27,lee_mykland,40518
2024-03-27,lee_mykland,40677
2024-03-27,lee_mykland,40721
2024-03-27,lee_mykland,40874
2024-03-27,lee_mykland,40884
2024-03-27,lee_mykland,40944
2024-03-27,lee_mykland,41012
2024-03-27,lee_mykland,41043
2024-03-27,lee_mykland,41113
2024-03-27,lee_mykland,41131
2024-03-27,lee_mykland,41153
2024-03-27,lee_mykland,41432
2024-03-27,lee_mykland,41433
2024-03-27,lee_mykland,41480
2024-03-27,lee_mykland,41621
2024-03-27,lee_mykland,41697
2024-03-27,lee_mykland,41866
2024-03-27,lee_mykland,41903
2024-03-27,lee_mykland,41906
2024-03-27,lee_mykland,41943
2024-03-27,lee_mykland,41961
2024-03-27,lee_mykland,41978
2024-03-27,lee_mykland,41986
2024-03-27,lee_mykland,41993
2024-03-27,lee_mykland,42222
2024-03-27,lee_mykland,42302
2024-03-27,lee_mykland,42305
2024-03-27,lee_mykland,42334
2024-03-27,lee_mykland,42341
2024-03-27,lee_mykland,42653
2024-03-27,lee_mykland,42750
2024-03-27,lee_mykland,42848
2024-03-27,lee_mykland,43152
2024-03-27,lee_mykland,43164
2024-03-27,lee_mykland,43189
2024-03-27,lee_mykland,43197
2024-03-27,lee_mykland,43208
2024-03-27,lee_mykland,43342
2024-03-27,lee_mykland,43462
2024-03-27,lee_mykland,43468
2024-03-27,lee_mykland,43538
2024-03-27,lee_mykland,43765
2024-03-27,lee_mykland,43841
2024-03-27,lee_mykland,43866
2024-03-27,lee_mykland,43872
2024-03-27,lee_mykland,43946
2024-03-27,lee_mykland,44058
2024-03-27,lee_mykland,44059
2024-03-27,lee_mykland,44084
2024-03-27,lee_mykland,44094
2024-03-27,lee_mykland,44100
2024-03-27,lee_mykland,44154
2024-03-27,lee_mykland,44216
2024-03-27,lee_mykland,44229
2024-03-27,lee_mykland,44364
2024-03-27,lee_mykland,44410
2024-03-27,lee_mykland,44487
2024-03-27,lee_mykland,44661
2024-03-27,lee_mykland,44665
2024-03-27,lee_mykland,44693
2024-03-27,lee_mykland,44722
2024-03-27,lee_mykland,44756
2024-03-27,lee_mykland,44913
2024-03-27,lee_mykland,44964
2024-03-27,lee_mykland,45043
2024-03-27,lee_mykland,45081
2024-03-27,lee_mykland,45266
2024-03-27,lee_mykland,45313
2024-03-27,lee_mykland,45315
2024-03-27,lee_mykland,45402
2024-03-27,lee_mykland,45442
2024-03-27,lee_mykland,45497
2024-03-27,lee_mykland,45525
2024-03-27,lee_mykland,45528
2024-03-27,lee_mykland,45542
2024-03-27,lee_mykland,45550
2024-03-27,lee_mykland,45553
2024-03-27,lee_mykland,45600
2024-03-27,lee_mykland,45609
2024-03-27,lee_mykland,45610
2024-03-27,lee_mykland,45618
2024-03-27,lee_mykland,45619
2024-03-27,lee_mykland,45733
2024-03-27,lee_mykland,45943
2024-03-27,lee_mykland,45947
2024-03-27,lee_mykland,45968
2024-03-27,lee_mykland,46053
2024-03-27,lee_mykland,46261
2024-03-27,lee_mykland,46337
2024-03-27,lee_mykland,46345
2024-03-27,lee_mykland,46364
2024-03-27,lee_mykland,46383
2024-03-27,lee_mykland,46560
2024-03-27,lee_mykland,46568
2024-03-27,lee_mykland,46569
2024-03-27,lee_mykland,46590
2024-03-27,lee_mykland,46806
2024-03-27,lee_mykland,46807
2024-03-27,lee_mykland,46870
2024-03-27,lee_mykland,46891
2024-03-27,lee_mykland,46894
2024-03-27,lee_mykland,46996
2024-03-27,lee_mykland,47081
2024-03-27,lee_mykland,47082
2024-03-27,lee_mykland,47253
2024-03-27,lee_mykland,47540
2024-03-27,lee_mykland,47693
2024-03-27,lee_mykland,48158
2024-03-27,lee_mykland,48278
2024-03-27,lee_mykland,48330
2024-03-27,lee_mykland,49558
2024-03-27,lee_mykland,49559
2024-03-27,lee_mykland,49929
2024-03-27,lee_mykland,50548
2024-03-27,lee_mykland,50962
2024-03-27,lee_mykland,51140
2024-03-27,lee_mykland,51793
2024-03-27,lee_mykland,51794
2024-03-27,lee_mykland,51796
2024-03-27,lee_mykland,51797
2024-03-27,lee_mykland,52746
2024-03-27,lee_mykland,52922
2024-03-27,lee_mykland,53790
2024-03-27,lee_mykland,53820
2024-03-27,lee_mykland,54313
2024-03-27,lee_mykland,54423
2024-03-27,lee_mykland,54750
2024-03-27,lee_mykland,54752
2024-03-27,lee_mykland,54753
2024-03-27,lee_mykland,55037
2024-03-27,lee_mykland,55527
2024-03-27,lee_mykland,55644
2024-03-27,lee_mykland,55824
2024-03-27,lee_mykland,56211
